Cycle Year,Provider Name,Applications,App_Acceptance,Numbers
2011,Cardiff Metropolitan University,Applications,Non Acceptances,7990
2011,Cardiff University,Applications,Non Acceptances,26495
2011,University of South Wales,Applications,Non Acceptances,15670
2012,Cardiff Metropolitan University,Applications,Non Acceptances,6050
2012,Cardiff University,Applications,Non Acceptances,24540
2012,University of South Wales,Applications,Non Acceptances,15750
2013,Cardiff Metropolitan University,Applications,Non Acceptances,6325
2013,Cardiff University,Applications,Non Acceptances,28115
2013,University of South Wales,Applications,Non Acceptances,13645
2014,Cardiff Metropolitan University,Applications,Non Acceptances,6935
2014,Cardiff University,Applications,Non Acceptances,32305
2014,University of South Wales,Applications,Non Acceptances,11095
2015,Cardiff Metropolitan University,Applications,Non Acceptances,6880
2015,Cardiff University,Applications,Non Acceptances,31590
2015,University of South Wales,Applications,Non Acceptances,10635
2016,Cardiff Metropolitan University,Applications,Non Acceptances,6545
2016,Cardiff University,Applications,Non Acceptances,31040
2016,University of South Wales,Applications,Non Acceptances,10915
2017,Cardiff Metropolitan University,Applications,Non Acceptances,6210
2017,Cardiff University,Applications,Non Acceptances,28005
2017,University of South Wales,Applications,Non Acceptances,10410
2011,Cardiff Metropolitan University,Applications,Acceptances,2705
2011,Cardiff University,Applications,Acceptances,5130
2011,University of South Wales,Applications,Acceptances,5530
2012,Cardiff Metropolitan University,Applications,Acceptances,2645
2012,Cardiff University,Applications,Acceptances,5800
2012,University of South Wales,Applications,Acceptances,4410
2013,Cardiff Metropolitan University,Applications,Acceptances,2875
2013,Cardiff University,Applications,Acceptances,6075
2013,University of South Wales,Applications,Acceptances,4555
2014,Cardiff Metropolitan University,Applications,Acceptances,3340
2014,Cardiff University,Applications,Acceptances,5995
2014,University of South Wales,Applications,Acceptances,4195
2015,Cardiff Metropolitan University,Applications,Acceptances,3010
2015,Cardiff University,Applications,Acceptances,6275
2015,University of South Wales,Applications,Acceptances,3985
2016,Cardiff Metropolitan University,Applications,Acceptances,2895
2016,Cardiff University,Applications,Acceptances,6775
2016,University of South Wales,Applications,Acceptances,3625
2017,Cardiff Metropolitan University,Applications,Acceptances,3070
2017,Cardiff University,Applications,Acceptances,6585
2017,University of South Wales,Applications,Acceptances,3690
